SKU;NOMBRE;TEXTOCORTO;CREADO;CUENTA_ID
SKU_000069;Fitness Tracker;Smartwatch with health tracking.;23/05/2024;14
SKU_000070;Tablet Plus;Ultra HD 4K television.;09/02/2024;3
SKU_000071;Digital Camera;Portable Bluetooth speaker.;31/10/2024;8
SKU_000072;Bluetooth Speaker;High-end smartphone with advanced features.;13/01/2025;23
SKU_000073;Wireless Headphones;Versatile tablet for work and play.;20/05/2024;15
SKU_000074;Fitness Tracker;Smartwatch with health tracking.;07/09/2024;7
SKU_000075;Gaming Console;Professional laptop for all your needs.;15/12/2024;14
SKU_000076;4K TV;Noise-cancelling wireless headphones.;08/05/2024;20
SKU_000077;Smartwatch;High-end smartphone with advanced features.;02/04/2024;15
SKU_000078;Fitness Tracker;Ultra HD 4K television.;11/01/2024;15
SKU_000079;4K TV;High-resolution digital camera.;23/04/2024;16
SKU_000080;Gaming Console;High-resolution digital camera.;03/10/2024;21
SKU_000081;Bluetooth Speaker;Professional laptop for all your needs.;12/01/2025;4
SKU_000082;Tablet Plus;Smartwatch with health tracking.;12/03/2024;15
SKU_000083;Smartphone X;Smartwatch with health tracking.;02/02/2025;5
SKU_000084;Smartphone X;Portable Bluetooth speaker.;02/04/2024;1
SKU_000085;Digital Camera;Noise-cancelling wireless headphones.;18/02/2024;4
SKU_000086;Fitness Tracker;Ultra HD 4K television.;01/01/2025;2
SKU_000087;Smartphone X;Ultra HD 4K television.;31/01/2025;18
SKU_000088;Gaming Console;Next-gen gaming console.;16/12/2024;17
SKU_000089;Smartwatch;Ultra HD 4K television.;17/09/2024;5
SKU_000090;Bluetooth Speaker;Portable Bluetooth speaker.;23/08/2024;27
SKU_000091;Gaming Console;Versatile tablet for work and play.;24/02/2025;27
SKU_000092;Bluetooth Speaker;Portable Bluetooth speaker.;17/01/2025;13
SKU_000093;Gaming Console;Professional laptop for all your needs.;13/05/2024;22
SKU_000094;Tablet Plus;High-end smartphone with advanced features.;12/05/2024;3
SKU_000095;Wireless Headphones;Next-gen gaming console.;06/04/2024;3
SKU_000096;4K TV;Noise-cancelling wireless headphones.;01/02/2025;3
SKU_000097;Laptop Pro;Noise-cancelling wireless headphones.;03/05/2024;21
SKU_000098;Gaming Console;Smartwatch with health tracking.;01/07/2024;12
SKU_000099;Wireless Headphones;Next-gen gaming console.;28/01/2024;12
SKU_000100;4K TV;High-resolution digital camera.;28/08/2024;28
